Unix,Date,Symbol,Open,High,Low,Close,Volume SHIB,Volume USDT,tradecount
1.6994E+12,11/8/2023,SHIBUSDT,8.20E-06,8.34E-06,8.14E-06,8.28E-06,2.72998E+12,22532377.21,47292
1.69932E+12,11/7/2023,SHIBUSDT,8.46E-06,8.47E-06,7.95E-06,8.20E-06,5.0461E+12,41446374.5,85607
1.69923E+12,11/6/2023,SHIBUSDT,8.12E-06,8.52E-06,8.00E-06,8.46E-06,4.98042E+12,41258079.73,88252
1.69914E+12,11/5/2023,SHIBUSDT,7.94E-06,8.32E-06,7.89E-06,8.11E-06,4.78423E+12,38781777.38,82146
1.69906E+12,11/4/2023,SHIBUSDT,7.82E-06,7.97E-06,7.77E-06,7.94E-06,2.01413E+12,15845275.27,39063
1.69897E+12,11/3/2023,SHIBUSDT,7.86E-06,7.86E-06,7.62E-06,7.82E-06,2.21834E+12,17219387.75,49726
1.69888E+12,11/2/2023,SHIBUSDT,7.97E-06,8.08E-06,7.66E-06,7.86E-06,4.82086E+12,38179420.08,74348
1.6988E+12,11/1/2023,SHIBUSDT,7.78E-06,7.98E-06,7.56E-06,7.97E-06,3.77624E+12,29268562.4,60805
1.69871E+12,10/31/2023,SHIBUSDT,7.97E-06,8.04E-06,7.51E-06,7.79E-06,4.69251E+12,36712048.81,67131
1.69862E+12,10/30/2023,SHIBUSDT,8.01E-06,8.07E-06,7.81E-06,7.96E-06,3.40381E+12,27120746.08,49278
1.69854E+12,10/29/2023,SHIBUSDT,7.97E-06,8.12E-06,7.72E-06,8.02E-06,3.61789E+12,28847881.35,56919
1.69845E+12,10/28/2023,SHIBUSDT,7.70E-06,8.12E-06,7.66E-06,7.97E-06,2.87819E+12,22602949.56,48014
1.69836E+12,10/27/2023,SHIBUSDT,7.91E-06,7.97E-06,7.57E-06,7.69E-06,3.97005E+12,30929055.78,60832
1.69828E+12,10/26/2023,SHIBUSDT,7.81E-06,8.25E-06,7.58E-06,7.90E-06,9.26173E+12,73516945.44,135445
1.69819E+12,10/25/2023,SHIBUSDT,7.39E-06,7.98E-06,7.27E-06,7.80E-06,7.16426E+12,54792795.05,103359
1.69811E+12,10/24/2023,SHIBUSDT,7.52E-06,7.76E-06,7.24E-06,7.39E-06,7.54546E+12,56646281.46,124750
1.69802E+12,10/23/2023,SHIBUSDT,7.14E-06,7.52E-06,7.09E-06,7.51E-06,5.27386E+12,38222315.98,76866
1.69793E+12,10/22/2023,SHIBUSDT,7.07E-06,7.14E-06,6.92E-06,7.13E-06,1.85015E+12,13005931.13,30053
1.69785E+12,10/21/2023,SHIBUSDT,6.90E-06,7.18E-06,6.88E-06,7.06E-06,2.07106E+12,14607519.32,33607
1.69776E+12,10/20/2023,SHIBUSDT,6.83E-06,7.04E-06,6.82E-06,6.91E-06,2.08675E+12,14466948.63,31812
1.69767E+12,10/19/2023,SHIBUSDT,6.77E-06,6.87E-06,6.61E-06,6.83E-06,1.86132E+12,12549406.08,27416
1.69759E+12,10/18/2023,SHIBUSDT,6.88E-06,6.96E-06,6.70E-06,6.77E-06,1.50806E+12,10317978.74,27868
1.6975E+12,10/17/2023,SHIBUSDT,7.10E-06,7.13E-06,6.82E-06,6.89E-06,1.73909E+12,12113724.11,26999
1.69741E+12,10/16/2023,SHIBUSDT,6.99E-06,7.30E-06,6.95E-06,7.09E-06,2.82298E+12,20081275.57,43033
1.69733E+12,10/15/2023,SHIBUSDT,7.03E-06,7.07E-06,6.93E-06,6.98E-06,9.99552E+11,6992627.824,19307
1.69724E+12,10/14/2023,SHIBUSDT,6.91E-06,7.15E-06,6.91E-06,7.02E-06,1.47176E+12,10362514.23,26716
1.69716E+12,10/13/2023,SHIBUSDT,6.80E-06,7.00E-06,6.77E-06,6.91E-06,1.1313E+12,7771004.187,19032
1.69707E+12,10/12/2023,SHIBUSDT,6.78E-06,6.90E-06,6.73E-06,6.80E-06,1.39011E+12,9481330.398,21365
1.69698E+12,10/11/2023,SHIBUSDT,6.90E-06,6.95E-06,6.71E-06,6.77E-06,1.62164E+12,11038862.68,25333
